Space Group,Point Group,Crystal System,Bravais Lattice
1,1,triclinic,aP
2,-1,triclinic,aP
3,2,monoclinic,mP
4,2,monoclinic,mP
5,2,monoclinic,mS
6,m,monoclinic,mP
7,m,monoclinic,mP
8,m,monoclinic,mS
9,m,monoclinic,mS
10,2/m,monoclinic,mP
11,2/m,monoclinic,mP
12,2/m,monoclinic,mS
13,2/m,monoclinic,mP
14,2/m,monoclinic,mP
15,2/m,monoclinic,oS
16,222,orthorhomic,oP
17,222,orthorhomic,oP
18,222,orthorhomic,oP
19,222,orthorhomic,oP
20,222,orthorhomic,oS
21,222,orthorhomic,oS
22,222,orthorhomic,oF
23,222,orthorhomic,oI
24,222,orthorhomic,oI
25,mm2,orthorhomic,oP
26,mm2,orthorhomic,oP
27,mm2,orthorhomic,oP
28,mm2,orthorhomic,oP
29,mm2,orthorhomic,oP
30,mm2,orthorhomic,oP
31,mm2,orthorhomic,oP
32,mm2,orthorhomic,oP
33,mm2,orthorhomic,oP
34,mm2,orthorhomic,oP
35,mm2,orthorhomic,oS
36,mm2,orthorhomic,oS
37,mm2,orthorhomic,oS
38,mm2,orthorhomic,oS
39,mm2,orthorhomic,oS
40,mm2,orthorhomic,oS
41,mm2,orthorhomic,oS
42,mm2,orthorhomic,oF
43,mm2,orthorhomic,oF
44,mm2,orthorhomic,oI
45,mm2,orthorhomic,oI
46,mm2,orthorhomic,oI
47,mmm,orthorhomic,oP
48,mmm,orthorhomic,oP
49,mmm,orthorhomic,oP
50,mmm,orthorhomic,oP
51,mmm,orthorhomic,oP
52,mmm,orthorhomic,oP
53,mmm,orthorhomic,oP
54,mmm,orthorhomic,oP
55,mmm,orthorhomic,oP
56,mmm,orthorhomic,oP
57,mmm,orthorhomic,oP
58,mmm,orthorhomic,oP
59,mmm,orthorhomic,oP
60,mmm,orthorhomic,oP
61,mmm,orthorhomic,oP
62,mmm,orthorhomic,oP
63,mmm,orthorhomic,oS
64,mmm,orthorhomic,oS
65,mmm,orthorhomic,oS
66,mmm,orthorhomic,oS
67,mmm,orthorhomic,oS
68,mmm,orthorhomic,oS
69,mmm,orthorhomic,oF
70,mmm,orthorhomic,oF
71,mmm,orthorhomic,oI
72,mmm,orthorhomic,oI
73,mmm,orthorhomic,oI
74,mmm,orthorhomic,tI
75,4,tetragonal,tP
76,4,tetragonal,tP
77,4,tetragonal,tP
78,4,tetragonal,tP
79,4,tetragonal,tI
80,4,tetragonal,tI
81,-4,tetragonal,tP
82,-4,tetragonal,tI
83,4/m,tetragonal,tP
84,4/m,tetragonal,tP
85,4/m,tetragonal,tP
86,4/m,tetragonal,tP
87,4/m,tetragonal,tI
88,4/m,tetragonal,tI
89,422,tetragonal,tP
90,422,tetragonal,tP
91,422,tetragonal,tP
92,422,tetragonal,tP
93,422,tetragonal,tP
94,422,tetragonal,tP
95,422,tetragonal,tP
96,422,tetragonal,tP
97,422,tetragonal,tI
98,422,tetragonal,tI
99,4mm,tetragonal,tP
100,4mm,tetragonal,tP
101,4mm,tetragonal,tP
102,4mm,tetragonal,tP
103,4mm,tetragonal,tP
104,4mm,tetragonal,tP
105,4mm,tetragonal,tP
106,4mm,tetragonal,tP
107,4mm,tetragonal,tI
108,4mm,tetragonal,tI
109,4mm,tetragonal,tI
110,4mm,tetragonal,tI
111,-42m,tetragonal,tP
112,-42m,tetragonal,tP
113,-42m,tetragonal,tP
114,-42m,tetragonal,tP
115,-42m,tetragonal,tP
116,-42m,tetragonal,tP
117,-42m,tetragonal,tP
118,-42m,tetragonal,tP
119,-42m,tetragonal,tI
120,-42m,tetragonal,tI
121,-42m,tetragonal,tI
122,-42m,tetragonal,tI
123,4/mmm,tetragonal,tP
124,4/mmm,tetragonal,tP
125,4/mmm,tetragonal,tP
126,4/mmm,tetragonal,tP
127,4/mmm,tetragonal,tP
128,4/mmm,tetragonal,tP
129,4/mmm,tetragonal,tP
130,4/mmm,tetragonal,tP
131,4/mmm,tetragonal,tP
132,4/mmm,tetragonal,tP
133,4/mmm,tetragonal,tP
134,4/mmm,tetragonal,tP
135,4/mmm,tetragonal,tP
136,4/mmm,tetragonal,tP
137,4/mmm,tetragonal,tP
138,4/mmm,tetragonal,tP
139,4/mmm,tetragonal,tI
140,4/mmm,tetragonal,tI
141,4/mmm,tetragonal,tI
142,4/mmm,tetragonal,tI
143,3,trigonal,hP
144,3,trigonal,hP
145,3,trigonal,hP
146,3,trigonal,hR
147,-3,trigonal,hP
148,-3,trigonal,hR
149,32,trigonal,hP
150,32,trigonal,hP
151,32,trigonal,hP
152,32,trigonal,hP
153,32,trigonal,hP
154,32,trigonal,hP
155,32,trigonal,hR
156,3m,trigonal,hP
157,3m,trigonal,hP
158,3m,trigonal,hP
159,3m,trigonal,hP
160,3m,trigonal,hR
161,3m,trigonal,hR
162,-3m,trigonal,hP
163,-3m,trigonal,hP
164,-3m,trigonal,hP
165,-3m,trigonal,hP
166,-3m,trigonal,hR
167,-3m,trigonal,hR
168,6,hexagonal,hP
169,6,hexagonal,hP
170,6,hexagonal,hP
171,6,hexagonal,hP
172,6,hexagonal,hP
173,6,hexagonal,hP
174,-6,hexagonal,hP
175,6/m,hexagonal,hP
176,6/m,hexagonal,hP
177,622,hexagonal,hP
178,622,hexagonal,hP
179,622,hexagonal,hP
180,622,hexagonal,hP
181,622,hexagonal,hP
182,622,hexagonal,hP
183,6mm,hexagonal,hP
184,6mm,hexagonal,hP
185,6mm,hexagonal,hP
186,6mm,hexagonal,hP
187,6m2,hexagonal,hP
188,6m2,hexagonal,hP
189,6m2,hexagonal,hP
190,6m2,hexagonal,hP
191,6/mmm,hexagonal,hP
192,6/mmm,hexagonal,hP
193,6/mmm,hexagonal,hP
194,6/mmm,hexagonal,cP
195,23,cubic,cP
196,23,cubic,cF
197,23,cubic,cI
198,23,cubic,cP
199,23,cubic,cI
200,m-3,cubic,cP
201,m-3,cubic,cP
202,m-3,cubic,cF
203,m-3,cubic,cF
204,m-3,cubic,cI
205,m-3,cubic,cP
206,m-3,cubic,cI
207,432,cubic,cP
208,432,cubic,cP
209,432,cubic,cF
210,432,cubic,cF
211,432,cubic,cI
212,432,cubic,cP
213,432,cubic,cP
214,432,cubic,cI
215,43m,cubic,cP
216,43m,cubic,cF
217,43m,cubic,cI
218,43m,cubic,cP
219,43m,cubic,cF
220,43m,cubic,cI
221,m-3m,cubic,cP
222,m-3m,cubic,cP
223,m-3m,cubic,cP
224,m-3m,cubic,cP
225,m-3m,cubic,cF
226,m-3m,cubic,cF
227,m-3m,cubic,cF
228,m-3m,cubic,cF
229,m-3m,cubic,cI
230,m-3m,cubic,cI
